Image Name,Majority Vote Label,Number of Annotators who Selected SSA (Out of 7),Partition
MHIST_ane.png,HP,3,test
MHIST_anf.png,HP,0,train
MHIST_ang.png,HP,1,train
MHIST_anh.png,SSA,4,train
MHIST_ani.png,HP,1,train
MHIST_anj.png,HP,0,train
MHIST_ank.png,HP,1,test
MHIST_anl.png,HP,0,train
MHIST_anq.png,HP,0,train
MHIST_anr.png,HP,2,test
MHIST_ant.png,HP,2,test
MHIST_anu.png,HP,1,train
MHIST_anv.png,HP,0,train
MHIST_any.png,HP,0,train
MHIST_aoa.png,HP,0,train
MHIST_aob.png,HP,1,train
MHIST_aod.png,HP,0,test
MHIST_aoe.png,HP,1,train
MHIST_aof.png,HP,0,train
MHIST_aok.png,HP,0,train
MHIST_aol.png,HP,3,test
MHIST_aom.png,HP,1,train
MHIST_aon.png,HP,1,train
MHIST_aop.png,HP,1,test
MHIST_aoq.png,HP,0,train
MHIST_aos.png,HP,0,train
MHIST_aot.png,HP,2,train
MHIST_aou.png,HP,0,train
MHIST_aov.png,HP,1,train
MHIST_aow.png,SSA,5,test
MHIST_aox.png,HP,2,train
MHIST_aoy.png,HP,0,train
MHIST_aoz.png,HP,1,train
MHIST_apa.png,HP,0,test
MHIST_apb.png,HP,1,train
MHIST_apd.png,HP,0,train
MHIST_ape.png,HP,1,train
MHIST_apf.png,HP,0,train
MHIST_apg.png,HP,3,train
MHIST_aph.png,HP,3,train
MHIST_api.png,HP,1,train
MHIST_apj.png,HP,3,train
MHIST_apk.png,HP,2,test
MHIST_apl.png,HP,2,train
MHIST_apo.png,HP,3,train
MHIST_app.png,HP,0,train
MHIST_apq.png,HP,2,train
MHIST_apr.png,HP,1,train
MHIST_aps.png,HP,2,test
MHIST_apx.png,HP,1,train
MHIST_apy.png,HP,3,train
MHIST_apz.png,SSA,5,train
MHIST_aqa.png,HP,1,train
MHIST_aqc.png,HP,1,train
MHIST_aqe.png,HP,0,train
MHIST_aqg.png,HP,2,train
MHIST_aqh.png,SSA,4,test
MHIST_aqj.png,HP,3,test
MHIST_aql.png,HP,3,train
MHIST_aqm.png,HP,3,test
MHIST_aqn.png,HP,2,train
MHIST_aqo.png,HP,2,train
MHIST_aqq.png,HP,2,train
MHIST_aqt.png,HP,0,train
MHIST_aqu.png,HP,3,train
MHIST_aqw.png,HP,3,train
MHIST_aqx.png,SSA,5,train
MHIST_aqy.png,HP,1,test
MHIST_aqz.png,HP,3,train
MHIST_ara.png,HP,3,train
MHIST_arb.png,HP,2,train
MHIST_arc.png,HP,1,train
MHIST_ard.png,SSA,5,train
MHIST_are.png,HP,1,train
MHIST_arg.png,HP,1,train
MHIST_arh.png,HP,0,train
MHIST_ari.png,HP,0,train
MHIST_arj.png,HP,0,train
MHIST_ark.png,HP,2,train
MHIST_arl.png,HP,2,train
MHIST_arm.png,HP,1,train
MHIST_aro.png,HP,0,train
MHIST_arq.png,HP,1,test
MHIST_arr.png,HP,1,train
MHIST_ars.png,SSA,4,train
MHIST_art.png,HP,2,train
MHIST_aru.png,HP,1,train
MHIST_arv.png,HP,3,train
MHIST_arx.png,HP,0,train
MHIST_ary.png,HP,0,train
MHIST_arz.png,HP,2,train
MHIST_asa.png,HP,2,test
MHIST_asc.png,SSA,5,test
MHIST_ase.png,HP,3,test
MHIST_asf.png,HP,2,train
MHIST_asg.png,HP,1,test
MHIST_asi.png,HP,2,test
MHIST_asj.png,HP,1,train
MHIST_ask.png,HP,0,train
MHIST_asl.png,HP,3,train
MHIST_asm.png,HP,1,train
MHIST_asn.png,HP,0,train
MHIST_aso.png,HP,1,test
MHIST_asp.png,HP,1,train
MHIST_asq.png,HP,2,train
MHIST_asr.png,HP,1,train
MHIST_ass.png,HP,1,train
MHIST_ast.png,HP,2,train
MHIST_asu.png,HP,1,test
MHIST_asv.png,HP,2,train
MHIST_asw.png,HP,1,test
MHIST_asy.png,HP,0,train
MHIST_atb.png,HP,1,test
MHIST_atc.png,HP,1,train
MHIST_atd.png,HP,0,test
MHIST_atf.png,HP,3,train
MHIST_atg.png,HP,1,train
MHIST_ath.png,HP,0,test
MHIST_ati.png,HP,1,train
MHIST_atl.png,HP,1,train
MHIST_atm.png,HP,3,train
MHIST_atp.png,HP,1,train
MHIST_atq.png,HP,2,test
MHIST_atr.png,HP,0,train
MHIST_ats.png,HP,0,train
MHIST_att.png,HP,0,train
MHIST_atu.png,HP,0,test
MHIST_atv.png,HP,1,train
MHIST_atw.png,HP,2,train
MHIST_atx.png,HP,3,train
MHIST_aty.png,HP,2,test
MHIST_atz.png,HP,2,train
MHIST_aua.png,SSA,4,test
MHIST_aub.png,HP,1,test
MHIST_auc.png,HP,1,test
MHIST_aud.png,HP,0,train
MHIST_aue.png,HP,0,train
MHIST_auf.png,HP,1,train
MHIST_aug.png,HP,3,test
MHIST_aui.png,SSA,5,train
MHIST_auj.png,HP,0,train
MHIST_auk.png,HP,1,test
MHIST_aul.png,HP,0,train
MHIST_aum.png,HP,2,train
MHIST_aun.png,HP,1,train
MHIST_auo.png,HP,0,train
MHIST_aup.png,HP,0,train
MHIST_aur.png,HP,0,train
MHIST_aus.png,HP,2,test
MHIST_aut.png,HP,3,test
MHIST_auv.png,SSA,4,train
MHIST_auy.png,HP,0,test
MHIST_auz.png,HP,0,train
MHIST_ava.png,HP,0,train
MHIST_avb.png,HP,0,train
MHIST_avc.png,HP,0,train
MHIST_avd.png,HP,1,test
MHIST_ave.png,SSA,4,test
MHIST_avf.png,HP,0,test
MHIST_avg.png,HP,0,test
MHIST_avh.png,SSA,4,train
MHIST_avi.png,SSA,5,train
MHIST_avj.png,HP,0,train
MHIST_avk.png,HP,1,train
MHIST_avl.png,HP,0,train
MHIST_avm.png,HP,0,train
MHIST_avn.png,HP,0,train
MHIST_avo.png,HP,1,train
MHIST_avq.png,SSA,4,train
MHIST_avs.png,HP,2,train
MHIST_avt.png,HP,1,train
MHIST_avu.png,HP,0,train
MHIST_avw.png,HP,2,test
MHIST_avx.png,HP,2,test
MHIST_avy.png,HP,3,train
MHIST_avz.png,HP,2,test
MHIST_awa.png,HP,1,train
MHIST_awb.png,HP,2,train
MHIST_awc.png,HP,0,train
MHIST_awd.png,HP,2,train
MHIST_awe.png,HP,0,train
MHIST_awf.png,HP,2,train
MHIST_awh.png,HP,0,test
MHIST_awi.png,HP,2,train
MHIST_awk.png,SSA,4,test
MHIST_awl.png,HP,2,train
MHIST_awm.png,HP,2,test
MHIST_awp.png,HP,3,train
MHIST_awq.png,HP,3,train
MHIST_aws.png,HP,0,train
MHIST_awt.png,HP,0,train
MHIST_awu.png,HP,1,test
MHIST_awv.png,HP,0,train
MHIST_awx.png,HP,0,train
MHIST_awy.png,HP,2,train
MHIST_awz.png,HP,2,test
MHIST_axc.png,HP,0,test
MHIST_axe.png,HP,3,train
MHIST_axf.png,HP,0,train
MHIST_axi.png,HP,0,train
MHIST_axj.png,SSA,4,test
MHIST_axk.png,HP,0,train
MHIST_axl.png,HP,2,train
MHIST_axm.png,HP,0,test
MHIST_axn.png,HP,2,train
MHIST_axo.png,HP,0,train
MHIST_axq.png,HP,3,train
MHIST_axr.png,HP,1,train
MHIST_axs.png,HP,2,train
MHIST_axt.png,HP,2,train
MHIST_axu.png,HP,0,train
MHIST_axw.png,HP,1,train
MHIST_axx.png,HP,1,train
MHIST_axy.png,HP,2,train
MHIST_axz.png,HP,1,train
MHIST_ayb.png,HP,2,train
MHIST_ayd.png,HP,0,train
MHIST_ayf.png,HP,1,test
MHIST_ayg.png,HP,1,train
MHIST_ayh.png,HP,1,test
MHIST_ayi.png,HP,2,train
MHIST_ayj.png,HP,3,train
MHIST_ayk.png,HP,0,train
MHIST_ayl.png,HP,0,train
MHIST_aym.png,HP,0,train
MHIST_ayp.png,HP,0,train
MHIST_ayr.png,HP,1,train
MHIST_ayt.png,HP,0,train
MHIST_ayu.png,HP,1,train
MHIST_ayx.png,HP,2,train
MHIST_ayy.png,HP,0,test
MHIST_ayz.png,HP,0,test
MHIST_aza.png,HP,0,train
MHIST_azb.png,HP,3,train
MHIST_azc.png,HP,0,train
MHIST_azd.png,HP,0,train
MHIST_azf.png,HP,3,test
MHIST_azg.png,HP,0,train
MHIST_azh.png,HP,0,train
MHIST_azi.png,HP,0,train
MHIST_azk.png,HP,3,train
MHIST_azr.png,HP,1,train
MHIST_azs.png,HP,0,train
MHIST_azt.png,HP,0,train
MHIST_azv.png,HP,0,train
MHIST_azw.png,HP,0,train
MHIST_azx.png,HP,0,test
MHIST_azy.png,HP,1,train
MHIST_azz.png,HP,2,test
MHIST_baa.png,HP,1,train
MHIST_bab.png,HP,1,train
MHIST_bac.png,HP,1,train
MHIST_bad.png,HP,2,train
MHIST_baf.png,SSA,5,test
MHIST_bag.png,HP,1,test
MHIST_bah.png,HP,0,train
MHIST_bai.png,HP,0,train
MHIST_baj.png,HP,0,train
MHIST_bak.png,HP,0,train
MHIST_ban.png,HP,0,test
MHIST_bap.png,HP,3,test
MHIST_baq.png,HP,2,train
MHIST_bar.png,HP,1,train
MHIST_bas.png,SSA,5,test
MHIST_bat.png,HP,3,train
MHIST_bau.png,HP,2,train
MHIST_baw.png,HP,1,test
MHIST_bay.png,HP,0,train
MHIST_baz.png,HP,1,test
MHIST_bba.png,HP,0,train
MHIST_bbb.png,HP,0,train
MHIST_bbc.png,HP,1,train
MHIST_bbd.png,SSA,4,train
MHIST_bbf.png,HP,0,test
MHIST_bbj.png,HP,3,train
MHIST_bbk.png,HP,2,train
MHIST_bbn.png,HP,3,test
MHIST_bbo.png,HP,1,train
MHIST_bbp.png,HP,1,train
MHIST_bbq.png,HP,0,train
MHIST_bbr.png,HP,0,test
MHIST_bbu.png,HP,1,train
MHIST_bbv.png,HP,1,train
MHIST_bby.png,HP,1,train
MHIST_bbz.png,HP,3,train
MHIST_bca.png,HP,2,train
MHIST_bcb.png,SSA,4,train
MHIST_bcd.png,HP,2,test
MHIST_bcf.png,HP,1,train
MHIST_bcg.png,HP,1,train
MHIST_bch.png,HP,3,train
MHIST_bci.png,HP,2,train
MHIST_bcj.png,HP,1,train
MHIST_bck.png,HP,1,train
MHIST_bcm.png,HP,3,train
MHIST_bcp.png,HP,3,train
MHIST_bcq.png,HP,3,train
MHIST_bcr.png,HP,0,test
MHIST_bcs.png,HP,1,train
MHIST_bct.png,HP,0,train
MHIST_bcu.png,HP,1,train
MHIST_bcv.png,HP,0,test
MHIST_bcw.png,HP,0,train
MHIST_bcx.png,HP,2,train
MHIST_bcz.png,HP,3,test
MHIST_bda.png,HP,1,test
MHIST_bdb.png,HP,2,test
MHIST_bdc.png,HP,1,test
MHIST_bdd.png,HP,1,test
MHIST_bde.png,HP,0,train
MHIST_bdf.png,HP,0,train
MHIST_bdg.png,HP,0,train
MHIST_bdh.png,HP,1,test
MHIST_bdi.png,HP,1,train
MHIST_bdj.png,HP,1,train
MHIST_bdk.png,HP,0,train
MHIST_bdl.png,HP,0,test
MHIST_bdm.png,HP,0,train
MHIST_bdn.png,HP,1,train
MHIST_bdo.png,HP,0,test
MHIST_bdq.png,HP,1,train
MHIST_bdr.png,HP,0,train
MHIST_bds.png,HP,0,train
MHIST_bdt.png,HP,1,test
MHIST_bdu.png,HP,1,train
MHIST_bdw.png,HP,0,train
MHIST_bdx.png,SSA,5,train
MHIST_bdy.png,HP,3,train
MHIST_bdz.png,HP,1,train
MHIST_bea.png,HP,0,test
MHIST_bed.png,HP,0,train
MHIST_bef.png,HP,1,train
MHIST_beg.png,HP,2,train
MHIST_beh.png,HP,0,test
MHIST_bei.png,SSA,4,train
MHIST_bej.png,HP,3,test
MHIST_bek.png,HP,0,train
MHIST_bel.png,HP,2,test
MHIST_bem.png,HP,1,test
MHIST_ben.png,HP,0,test
MHIST_bep.png,HP,3,train
MHIST_beq.png,HP,0,train
MHIST_bes.png,HP,2,train
MHIST_bet.png,HP,3,train
MHIST_bex.png,SSA,4,test
MHIST_bey.png,HP,1,train
MHIST_bez.png,HP,2,test
MHIST_bfa.png,HP,2,train
MHIST_bfb.png,HP,1,test
MHIST_bfc.png,HP,0,test
MHIST_bfd.png,HP,3,test
MHIST_bfe.png,HP,0,train
MHIST_bfh.png,HP,2,train
MHIST_bfi.png,HP,0,test
MHIST_bfj.png,HP,3,test
MHIST_bfk.png,HP,1,train
MHIST_bfl.png,HP,1,train
MHIST_bfm.png,HP,1,train
MHIST_bfp.png,HP,2,train
MHIST_bfr.png,HP,0,train
MHIST_bfs.png,HP,0,train
MHIST_bft.png,SSA,5,train
MHIST_bfx.png,SSA,4,test
MHIST_bfy.png,HP,0,test
MHIST_bfz.png,HP,0,test
MHIST_bga.png,HP,0,test
MHIST_bgd.png,HP,1,train
MHIST_bge.png,HP,2,test
MHIST_bgg.png,HP,0,train
MHIST_bgi.png,HP,0,test
MHIST_bgj.png,HP,0,test
MHIST_bgm.png,HP,0,train
MHIST_bgn.png,HP,2,train
MHIST_bgo.png,HP,0,train
MHIST_bgq.png,HP,0,train
MHIST_bgr.png,HP,1,train
MHIST_bgt.png,HP,0,train
MHIST_bgu.png,HP,1,train
MHIST_bgw.png,HP,2,train
MHIST_bgx.png,HP,0,train
MHIST_bgy.png,HP,2,test
MHIST_bgz.png,HP,0,test
MHIST_bha.png,HP,0,train
MHIST_bhb.png,HP,1,train
MHIST_bhc.png,HP,0,train
MHIST_bhd.png,HP,0,train
MHIST_bhe.png,HP,0,train
MHIST_bhf.png,HP,2,train
MHIST_bhg.png,HP,3,train
MHIST_bhh.png,HP,2,train
MHIST_bhi.png,HP,2,train
MHIST_bhj.png,HP,3,train
MHIST_bhm.png,HP,0,train
MHIST_bhn.png,SSA,4,test
MHIST_bhp.png,HP,0,train
MHIST_bhr.png,HP,0,train
MHIST_bht.png,HP,0,train
MHIST_bhu.png,HP,1,test
MHIST_bhx.png,HP,2,test
MHIST_bhz.png,HP,0,train
MHIST_bia.png,HP,0,train
MHIST_bic.png,HP,1,train
MHIST_bid.png,HP,1,train
MHIST_bif.png,HP,0,test
MHIST_big.png,SSA,5,train
MHIST_bij.png,HP,2,test
MHIST_bik.png,HP,0,train
MHIST_bil.png,HP,0,test
MHIST_bim.png,HP,0,test
MHIST_bin.png,SSA,4,test
MHIST_biq.png,HP,1,train
MHIST_bir.png,HP,3,train
MHIST_bis.png,HP,1,train
MHIST_bit.png,SSA,4,train
MHIST_biu.png,HP,1,test
MHIST_biv.png,HP,2,train
MHIST_bix.png,HP,2,test
MHIST_biy.png,HP,2,test
MHIST_biz.png,HP,0,test
MHIST_bjb.png,HP,1,train
MHIST_bjc.png,HP,3,train
MHIST_bje.png,HP,0,test
MHIST_bjf.png,HP,0,train
MHIST_bjg.png,HP,1,train
MHIST_bjh.png,HP,1,test
MHIST_bji.png,SSA,4,train
MHIST_bjj.png,HP,0,train
MHIST_bjk.png,HP,0,train
MHIST_bjl.png,HP,0,train
MHIST_bjm.png,HP,0,test
MHIST_bjn.png,HP,0,train
MHIST_bjo.png,HP,3,train
MHIST_bjq.png,HP,3,train
MHIST_bjt.png,HP,2,test
MHIST_bju.png,HP,2,train
MHIST_bjv.png,HP,1,train
MHIST_bjw.png,HP,2,train
MHIST_bjy.png,HP,1,train
MHIST_bjz.png,HP,0,train
MHIST_bka.png,HP,0,test
MHIST_bkc.png,SSA,4,train
MHIST_bke.png,HP,0,test
MHIST_bkf.png,HP,3,train
MHIST_bkg.png,SSA,4,train
MHIST_bkh.png,HP,0,test
MHIST_bki.png,HP,2,train
MHIST_bkm.png,HP,1,train
MHIST_bkn.png,HP,1,train
MHIST_bko.png,HP,1,test
MHIST_bkp.png,HP,1,test
MHIST_bkq.png,HP,3,train
MHIST_bkr.png,HP,2,train
MHIST_bkt.png,HP,1,test
MHIST_bku.png,HP,0,test
MHIST_bkw.png,HP,0,train
MHIST_bkx.png,HP,0,train
MHIST_bkz.png,HP,1,train
MHIST_bla.png,HP,1,train
MHIST_blb.png,HP,1,train
MHIST_bld.png,HP,1,test
MHIST_blg.png,SSA,4,test
MHIST_blh.png,SSA,4,train
MHIST_bli.png,HP,0,train
MHIST_blj.png,HP,3,test
MHIST_blk.png,HP,0,train
MHIST_bll.png,HP,0,train
MHIST_blm.png,HP,0,test
MHIST_bln.png,HP,1,test
MHIST_blo.png,HP,0,test
MHIST_blp.png,HP,3,train
MHIST_blq.png,HP,2,train
MHIST_bls.png,HP,3,train
MHIST_blv.png,HP,1,test
MHIST_blx.png,HP,0,train
MHIST_bly.png,HP,2,test
MHIST_bmb.png,SSA,4,train
MHIST_bmc.png,HP,3,test
MHIST_bmd.png,SSA,6,test
MHIST_bme.png,HP,1,train
MHIST_bmf.png,HP,1,train
MHIST_bmg.png,HP,1,test
MHIST_bmh.png,HP,2,test
MHIST_bmi.png,HP,0,train
MHIST_bmj.png,HP,2,train
MHIST_bmk.png,HP,1,train
MHIST_bml.png,HP,0,train
MHIST_bmm.png,HP,1,train
MHIST_bmo.png,HP,0,train
MHIST_bmq.png,SSA,4,train
MHIST_bmr.png,HP,2,train
MHIST_bmt.png,HP,1,test
MHIST_bmu.png,HP,3,train
MHIST_bmv.png,HP,1,test
MHIST_bmw.png,HP,1,test
MHIST_bmx.png,HP,0,train
MHIST_bmy.png,SSA,4,test
MHIST_bmz.png,HP,1,train
MHIST_bna.png,HP,1,train
MHIST_bnb.png,HP,0,test
MHIST_bne.png,HP,0,test
MHIST_bng.png,HP,2,train
MHIST_bnh.png,HP,1,train
MHIST_bni.png,SSA,4,train
MHIST_bnk.png,SSA,6,train
MHIST_bnl.png,HP,1,test
MHIST_bnm.png,HP,1,test
MHIST_bnn.png,HP,3,test
MHIST_bno.png,HP,1,train
MHIST_bnq.png,HP,0,test
MHIST_bns.png,HP,0,train
MHIST_bnt.png,HP,3,train
MHIST_bnu.png,HP,1,train
MHIST_bnv.png,HP,1,test
MHIST_bnw.png,HP,2,test
MHIST_bnx.png,SSA,4,train
MHIST_bny.png,SSA,4,train
MHIST_bnz.png,HP,1,train
MHIST_bob.png,HP,2,train
MHIST_boc.png,HP,2,train
MHIST_bod.png,HP,0,test
MHIST_boe.png,SSA,5,test
MHIST_bof.png,HP,1,test
MHIST_bog.png,HP,1,train
